request_id,num_generated_notes,generation_start_tick,round_trip_time,total_network_latency,server_request_arrival_time,server_response_output_time,server_preprocess_start_time,server_inference_start_time,server_inference_end_time,server_postprocess_start_time,server_processing_duration,preprocess_duration,inference_duration,postprocess_duration
1,0,16,0.5530125130026136,0.00255769700743258,114512.824633603,114513.375088419,114512.824684003,114512.946680796,114513.37399232,114513.37399252,0.550454815995181,0.12199679299374111,0.4273115240066545,0.0010958989878417924
2,0,16,0.16548925499955658,0.00239099700411316,114513.477644128,114513.640742386,114513.477691828,114513.480077426,114513.639761387,114513.639761587,0.16309825799544342,0.002385597996180877,0.15968396101379767,0.0009807989990804344
3,0,16,0.11203360199579038,0.0025742969883140177,114513.743495697,114513.852955002,114513.743543297,114513.747271994,114513.852022003,114513.852022303,0.10945930500747636,0.0037286970036802813,0.10475000900623854,0.000932698996621184
4,0,16,0.1106925039930502,0.002366796979913488,114513.955710513,114514.06403622,114513.955760113,114513.95920331,114514.06317742,114514.06317762,0.10832570701313671,0.003443196997977793,0.10397410999576095,0.00085860000399407
5,0,16,0.11171520300558768,0.0023275980056496337,114514.166705831,114514.276093436,114514.166754631,114514.170402327,114514.275211637,114514.275211837,0.10938760499993805,0.003647695994004607,0.10480930999619886,0.000881599000422284
6,0,16,0.11104610399343073,0.002335497993044555,114514.378654047,114514.487364653,114514.378702047,114514.382489044,114514.486494754,114514.486495054,0.10871060600038618,0.0037869969964958727,0.1040057100035483,0.0008695989963598549
7,0,16,0.11069430600036867,0.0023441990051651374,114514.589969665,114514.698319772,114514.590059465,114514.594002261,114514.697446673,114514.697446873,0.10835010699520353,0.0039427960000466555,0.10344441200140864,0.0008728989923838526
8,0,16,0.10939360701013356,0.0024560980091337115,114514.801061085,114514.907998594,114514.801110685,114514.804697382,114514.907018095,114514.907018295,0.10693750900099985,0.0035866969992639497,0.10232071299105883,0.000980299009825103
9,2,16,0.15904706399305724,0.0023275979910977185,114515.010572207,114515.167291673,114515.010620607,114515.014340003,114515.166086274,114515.166086474,0.15671946600195952,0.0037193960015429184,0.15174627098895144,0.001205199005198665
10,0,16,0.10714080899197143,0.002350098002352752,114515.269973486,114515.374764197,114515.270055286,114515.274405882,114515.373871297,114515.373871497,0.10479071098961867,0.004350595991127193,0.09946541499812156,0.0008927000017138198
11,0,16,0.10996490699471906,0.0023149979970185086,114515.477330109,114515.584980018,114515.477377609,114515.481449906,114515.583893619,114515.583893819,0.10764990899770055,0.004072297000675462,0.10244371299631894,0.001086199001292698
12,1,16,0.1184266999916872,0.002303396991919726,114515.687554532,114515.803677835,114515.687601432,114515.691690629,114515.802711436,114515.802711636,0.11612330299976747,0.004089196998393163,0.1110208070022054,0.0009661990043241531
13,0,16,0.11121560700121336,0.002369297988479957,114515.906327949,114516.015174258,114515.906377149,114515.910412846,114516.014244359,114516.014244559,0.1088463090127334,0.004035696998471394,0.10383151299902238,0.0009296990028815344
14,0,16,0.1414716699946439,0.002256296997074969,114516.117789197,114516.25700457,114516.117837497,114516.12195449,114516.255879672,114516.255879872,0.13921537299756892,0.0041169929900206625,0.13392518200271297,0.0011246979993302375
15,0,16,0.10831722400325816,0.0023095969954738393,114516.359561304,114516.465568931,114516.359608704,114516.363466097,114516.464684133,114516.464684233,0.10600762700778432,0.0038573929923586547,0.10121803599759005,0.0008846980053931475
16,0,16,0.11778391100233421,0.002320596991921775,114516.568203665,114516.683666979,114516.568252765,114516.572441858,114516.682665381,114516.682665681,0.11546331401041243,0.004189093000604771,0.11022352299187332,0.0010012980055762455
17,0,16,0.10776752600213513,0.002316395999514498,114516.786294914,114516.891746044,114516.786343014,114516.790824606,114516.890854345,114516.890854545,0.10545113000262063,0.004481591997318901,0.10002973899827339,0.0008914990030461922
18,0,16,0.10726562699710485,0.0023780949995853007,114516.994412878,114517.09930041,114516.994462478,114516.998611672,114517.098405411,114517.098405611,0.10488753199751955,0.004149193991906941,0.09979373900569044,0.0008947989990701899
19,0,16,0.10736862701014616,0.002299996020155959,114517.201936644,114517.307005275,114517.201985044,114517.206301537,114517.306101276,114517.306101476,0.1050686309899902,0.004316492995712906,0.09979973900772166,0.0009037989948410541
20,0,16,0.10694972801138647,0.002297697006724775,114517.40962171,114517.514273741,114517.40967041,114517.413923303,114517.513198843,114517.513199043,0.1046520310046617,0.0042528930061962456,0.09927553999295924,0.0010746980115072802
21,0,16,0.11581221500819083,0.0023032960016280413,114517.616784177,114517.730293096,114517.616832577,114517.62126407,114517.729362197,114517.729362397,0.11350891900656279,0.00443149299826473,0.10809812700608745,0.0009306989959441125
22,0,16,0.10793552799441386,0.002381196987698786,114517.832986432,114517.938540763,114517.833033532,114517.837441625,114517.937623565,114517.937623765,0.10555433100671507,0.004408092994708568,0.10018193999712821,0.0009169980039587244
23,0,16,0.10670963001030032,0.0023071970063028857,114518.0411706,114518.145573033,114518.0412198,114518.045716492,114518.144664834,114518.144664934,0.10440243300399743,0.004496691995882429,0.09894834201259073,0.0009080989984795451
24,0,16,0.10770262799633201,0.0023715959978289902,114518.248225369,114518.353556401,114518.248273669,114518.252501462,114518.352460203,114518.352460303,0.10533103199850302,0.00422779300424736,0.09995874098967761,0.0010960979998344555
25,0,16,0.10839162699994631,0.002310295996721834,114518.456171937,114518.562253268,114518.456221537,114518.46052523,114518.56116317,114518.56116327,0.10608133100322448,0.004303693000110798,0.10063794000598136,0.0010899979970417917
26,0,16,0.10994942599791102,0.002282995992572978,114518.664852606,114518.772519036,114518.664901906,114518.669304399,114518.771577537,114518.771577737,0.10766643000533804,0.004402492995723151,0.1022731380071491,0.0009412990038981661
